Time (s),Latitude,Longitude
2,-27.9345919,153.3908448
3,-27.93458673,153.3908251
4,-27.93458203,153.3908059
5,-27.93457774,153.3907872
6,-27.9345738,153.3907689
7,-27.93457015,153.3907509
8,-27.93456674,153.3907333
9,-27.9345635,153.390716
10,-27.93456057,153.3906997
11,-27.93455719,153.3906824
12,-27.93455391,153.3906655
13,-27.93455096,153.3906488
14,-27.93454813,153.3906324
15,-27.93454491,153.3906158
16,-27.93454124,153.3905993
17,-27.93453749,153.3905826
18,-27.93453385,153.390566
19,-27.93452941,153.3905488
20,-27.93452465,153.3905317
21,-27.93451983,153.3905151
22,-27.93451408,153.3904988
23,-27.93450768,153.3904832
24,-27.93450139,153.390469
25,-27.93449567,153.3904564
26,-27.93449087,153.3904457
27,-27.93448735,153.3904374
28,-27.93448546,153.3904317
30,-27.93448799,153.3904296
